PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=285 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=224 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=238 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=228 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=233 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=334 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=252 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=499 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=609 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=631 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=670 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=622 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=489 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=453 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=330 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=569 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=435 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=523 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=575 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=635 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=500 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=613 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=788 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=1103 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=1085 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=863 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=581 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=806 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=552 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=480 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=454 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=534 ms
64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=445 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=235 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=514 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=495 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=365 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=394 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=511 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=427 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=261 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=345 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=431 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=333 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=241 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=223 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=234 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=232 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=222 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=233 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=259 ms
64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=269 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=222 ms
64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=231 ms
64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=226 ms
64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=234 ms
64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=245 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=227 ms
64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=245 ms
64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=244 ms

--- 10.0.0.2 ping statistics ---
60 packets transmitted, 60 received, 0% packet loss, time 29761ms
rtt min/avg/max/mdev = 222.353/429.436/1103.990/209.603 ms, pipe 3
