PING 10.0.0.3 (10.0.0.3) 56(84) bytes of data.
64 bytes from 10.0.0.3: icmp_seq=1 ttl=64 time=244 ms
64 bytes from 10.0.0.3: icmp_seq=2 ttl=64 time=225 ms
64 bytes from 10.0.0.3: icmp_seq=3 ttl=64 time=227 ms
64 bytes from 10.0.0.3: icmp_seq=4 ttl=64 time=248 ms
64 bytes from 10.0.0.3: icmp_seq=5 ttl=64 time=233 ms
64 bytes from 10.0.0.3: icmp_seq=6 ttl=64 time=357 ms
64 bytes from 10.0.0.3: icmp_seq=7 ttl=64 time=221 ms
64 bytes from 10.0.0.3: icmp_seq=8 ttl=64 time=568 ms
64 bytes from 10.0.0.3: icmp_seq=9 ttl=64 time=577 ms
64 bytes from 10.0.0.3: icmp_seq=10 ttl=64 time=637 ms
64 bytes from 10.0.0.3: icmp_seq=11 ttl=64 time=679 ms
64 bytes from 10.0.0.3: icmp_seq=12 ttl=64 time=486 ms
64 bytes from 10.0.0.3: icmp_seq=13 ttl=64 time=242 ms
64 bytes from 10.0.0.3: icmp_seq=14 ttl=64 time=306 ms
64 bytes from 10.0.0.3: icmp_seq=15 ttl=64 time=303 ms
64 bytes from 10.0.0.3: icmp_seq=16 ttl=64 time=646 ms
64 bytes from 10.0.0.3: icmp_seq=17 ttl=64 time=586 ms
64 bytes from 10.0.0.3: icmp_seq=18 ttl=64 time=461 ms
64 bytes from 10.0.0.3: icmp_seq=19 ttl=64 time=579 ms
64 bytes from 10.0.0.3: icmp_seq=20 ttl=64 time=654 ms
64 bytes from 10.0.0.3: icmp_seq=21 ttl=64 time=478 ms
64 bytes from 10.0.0.3: icmp_seq=22 ttl=64 time=573 ms
64 bytes from 10.0.0.3: icmp_seq=23 ttl=64 time=738 ms
64 bytes from 10.0.0.3: icmp_seq=24 ttl=64 time=1077 ms
64 bytes from 10.0.0.3: icmp_seq=25 ttl=64 time=996 ms
64 bytes from 10.0.0.3: icmp_seq=26 ttl=64 time=802 ms
64 bytes from 10.0.0.3: icmp_seq=27 ttl=64 time=746 ms
64 bytes from 10.0.0.3: icmp_seq=28 ttl=64 time=703 ms
64 bytes from 10.0.0.3: icmp_seq=29 ttl=64 time=527 ms
64 bytes from 10.0.0.3: icmp_seq=30 ttl=64 time=475 ms
64 bytes from 10.0.0.3: icmp_seq=31 ttl=64 time=637 ms
64 bytes from 10.0.0.3: icmp_seq=32 ttl=64 time=388 ms
64 bytes from 10.0.0.3: icmp_seq=33 ttl=64 time=317 ms
64 bytes from 10.0.0.3: icmp_seq=34 ttl=64 time=334 ms
64 bytes from 10.0.0.3: icmp_seq=35 ttl=64 time=232 ms
64 bytes from 10.0.0.3: icmp_seq=36 ttl=64 time=313 ms
64 bytes from 10.0.0.3: icmp_seq=37 ttl=64 time=471 ms
64 bytes from 10.0.0.3: icmp_seq=38 ttl=64 time=341 ms
64 bytes from 10.0.0.3: icmp_seq=39 ttl=64 time=267 ms
64 bytes from 10.0.0.3: icmp_seq=40 ttl=64 time=293 ms
64 bytes from 10.0.0.3: icmp_seq=41 ttl=64 time=385 ms
64 bytes from 10.0.0.3: icmp_seq=42 ttl=64 time=260 ms
64 bytes from 10.0.0.3: icmp_seq=43 ttl=64 time=224 ms
64 bytes from 10.0.0.3: icmp_seq=44 ttl=64 time=231 ms
64 bytes from 10.0.0.3: icmp_seq=45 ttl=64 time=351 ms
64 bytes from 10.0.0.3: icmp_seq=46 ttl=64 time=240 ms
64 bytes from 10.0.0.3: icmp_seq=47 ttl=64 time=238 ms
64 bytes from 10.0.0.3: icmp_seq=48 ttl=64 time=242 ms
64 bytes from 10.0.0.3: icmp_seq=49 ttl=64 time=222 ms
64 bytes from 10.0.0.3: icmp_seq=50 ttl=64 time=229 ms
64 bytes from 10.0.0.3: icmp_seq=51 ttl=64 time=225 ms
64 bytes from 10.0.0.3: icmp_seq=52 ttl=64 time=253 ms
64 bytes from 10.0.0.3: icmp_seq=53 ttl=64 time=222 ms
64 bytes from 10.0.0.3: icmp_seq=54 ttl=64 time=227 ms
64 bytes from 10.0.0.3: icmp_seq=55 ttl=64 time=226 ms
64 bytes from 10.0.0.3: icmp_seq=56 ttl=64 time=234 ms
64 bytes from 10.0.0.3: icmp_seq=57 ttl=64 time=230 ms
64 bytes from 10.0.0.3: icmp_seq=58 ttl=64 time=253 ms
64 bytes from 10.0.0.3: icmp_seq=59 ttl=64 time=234 ms
64 bytes from 10.0.0.3: icmp_seq=60 ttl=64 time=244 ms

--- 10.0.0.3 ping statistics ---
60 packets transmitted, 60 received, 0% packet loss, time 29759ms
rtt min/avg/max/mdev = 221.193/403.135/1077.113/208.190 ms, pipe 3
