Viewer listening on port 50007...
Sender ('10.0.0.1', 46922) connected.
  Frame sent@ 1573434707.91, recv@ 1573434708.15
  Frame sent@ 1573434708.01, recv@ 1573434708.26
  Frame sent@ 1573434708.11, recv@ 1573434708.31
  Frame sent@ 1573434708.24, recv@ 1573434708.42
  Frame sent@ 1573434708.35, recv@ 1573434708.54
  Frame sent@ 1573434708.45, recv@ 1573434708.63
  Frame sent@ 1573434708.59, recv@ 1573434708.76
  Frame sent@ 1573434708.69, recv@ 1573434708.82
  Frame sent@ 1573434708.79, recv@ 1573434708.99
  Frame sent@ 1573434708.90, recv@ 1573434709.11
  Frame sent@ 1573434709.02, recv@ 1573434709.16
  Frame sent@ 1573434709.13, recv@ 1573434709.33
  Frame sent@ 1573434709.27, recv@ 1573434709.36
  Frame sent@ 1573434709.37, recv@ 1573434709.51
  Frame sent@ 1573434709.48, recv@ 1573434709.80
  Frame sent@ 1573434709.69, recv@ 1573434709.86
  Frame sent@ 1573434709.80, recv@ 1573434709.97
  Frame sent@ 1573434709.90, recv@ 1573434710.32
  Frame sent@ 1573434710.09, recv@ 1573434710.36
  Frame sent@ 1573434710.26, recv@ 1573434710.43
  Frame sent@ 1573434710.36, recv@ 1573434710.47
  Frame sent@ 1573434710.47, recv@ 1573434710.66
  Frame sent@ 1573434710.60, recv@ 1573434710.78
  Frame sent@ 1573434710.71, recv@ 1573434710.87
  Frame sent@ 1573434710.82, recv@ 1573434710.98
  Frame sent@ 1573434710.92, recv@ 1573434711.01
  Frame sent@ 1573434711.02, recv@ 1573434711.17
  Frame sent@ 1573434711.12, recv@ 1573434711.30
  Frame sent@ 1573434711.23, recv@ 1573434711.31
  Frame sent@ 1573434711.33, recv@ 1573434711.45
  Frame sent@ 1573434711.43, recv@ 1573434711.59
  Frame sent@ 1573434711.53, recv@ 1573434711.70
  Frame sent@ 1573434711.63, recv@ 1573434711.77
  Frame sent@ 1573434711.74, recv@ 1573434711.91
  Frame sent@ 1573434711.84, recv@ 1573434712.01
  Frame sent@ 1573434711.95, recv@ 1573434712.07
  Frame sent@ 1573434712.05, recv@ 1573434712.20
  Frame sent@ 1573434712.15, recv@ 1573434712.32
  Frame sent@ 1573434712.25, recv@ 1573434712.33
  Frame sent@ 1573434712.36, recv@ 1573434712.46
  Frame sent@ 1573434712.46, recv@ 1573434712.59
  Frame sent@ 1573434712.56, recv@ 1573434712.71
  Frame sent@ 1573434712.67, recv@ 1573434712.83
  Frame sent@ 1573434712.77, recv@ 1573434712.84
  Frame sent@ 1573434712.88, recv@ 1573434712.97
  Frame sent@ 1573434712.99, recv@ 1573434713.09
  Frame sent@ 1573434713.09, recv@ 1573434713.21
  Frame sent@ 1573434713.19, recv@ 1573434713.33
  Frame sent@ 1573434713.30, recv@ 1573434713.45
  Frame sent@ 1573434713.40, recv@ 1573434713.56
  Frame sent@ 1573434713.50, recv@ 1573434713.59
  Frame sent@ 1573434713.61, recv@ 1573434713.72
  Frame sent@ 1573434713.72, recv@ 1573434713.84
  Frame sent@ 1573434713.82, recv@ 1573434713.97
  Frame sent@ 1573434713.93, recv@ 1573434714.10
  Frame sent@ 1573434714.06, recv@ 1573434714.23
  Frame sent@ 1573434714.16, recv@ 1573434714.24
  Frame sent@ 1573434714.26, recv@ 1573434714.37
  Frame sent@ 1573434714.37, recv@ 1573434714.49
  Frame sent@ 1573434714.47, recv@ 1573434714.62
  Frame sent@ 1573434714.57, recv@ 1573434714.73
  Frame sent@ 1573434714.67, recv@ 1573434714.74
  Frame sent@ 1573434714.77, recv@ 1573434714.87
  Frame sent@ 1573434714.87, recv@ 1573434714.99
  Frame sent@ 1573434714.97, recv@ 1573434715.11
  Frame sent@ 1573434715.07, recv@ 1573434715.23
  Frame sent@ 1573434715.17, recv@ 1573434715.33
  Frame sent@ 1573434715.27, recv@ 1573434715.35
  Frame sent@ 1573434715.37, recv@ 1573434715.47
  Frame sent@ 1573434715.47, recv@ 1573434715.59
  Frame sent@ 1573434715.57, recv@ 1573434715.72
  Frame sent@ 1573434715.67, recv@ 1573434715.84
  Frame sent@ 1573434715.77, recv@ 1573434715.85
  Frame sent@ 1573434715.87, recv@ 1573434715.97
  Frame sent@ 1573434715.97, recv@ 1573434716.09
  Frame sent@ 1573434716.07, recv@ 1573434716.21
  Frame sent@ 1573434716.17, recv@ 1573434716.33
  Frame sent@ 1573434716.27, recv@ 1573434716.43
  Frame sent@ 1573434716.37, recv@ 1573434716.45
  Frame sent@ 1573434716.47, recv@ 1573434716.57
  Frame sent@ 1573434716.58, recv@ 1573434716.69
  Frame sent@ 1573434716.68, recv@ 1573434716.81
  Frame sent@ 1573434716.78, recv@ 1573434716.94
  Frame sent@ 1573434716.88, recv@ 1573434717.04
  Frame sent@ 1573434716.98, recv@ 1573434717.06
  Frame sent@ 1573434717.08, recv@ 1573434717.18
  Frame sent@ 1573434717.18, recv@ 1573434717.30
  Frame sent@ 1573434717.28, recv@ 1573434717.42
  Frame sent@ 1573434717.38, recv@ 1573434717.54
  Frame sent@ 1573434717.48, recv@ 1573434717.55
  Frame sent@ 1573434717.58, recv@ 1573434717.67
  Frame sent@ 1573434717.68, recv@ 1573434717.79
  Frame sent@ 1573434717.78, recv@ 1573434717.87
Received 93 frames!
Avg. latency: 145 ms.
