CDN server will transmit frames to 10.0.0.2:50007.
CDN server listening on port 50008...
Sender ('10.0.0.1', 33304) connected.
  Frame sent@ 1573434695.62, recv@ 1573434696.01
  Frame sent@ 1573434696.01, length: 17288
  Frame sent@ 1573434695.72, recv@ 1573434696.08
  Frame sent@ 1573434696.09, length: 17288
  Frame sent@ 1573434695.82, recv@ 1573434696.31
  Frame sent@ 1573434696.31, length: 17288
  Frame sent@ 1573434695.92, recv@ 1573434696.41
  Frame sent@ 1573434696.41, length: 17288
  Frame sent@ 1573434696.02, recv@ 1573434696.48
  Frame sent@ 1573434696.48, length: 17288
  Frame sent@ 1573434696.14, recv@ 1573434696.56
  Frame sent@ 1573434696.65, length: 17288
  Frame sent@ 1573434696.33, recv@ 1573434696.65
  Frame sent@ 1573434696.65, length: 17288
  Frame sent@ 1573434696.43, recv@ 1573434696.79
  Frame sent@ 1573434696.79, length: 17288
  Frame sent@ 1573434696.53, recv@ 1573434696.86
  Frame sent@ 1573434696.86, length: 17288
  Frame sent@ 1573434696.63, recv@ 1573434696.93
  Frame sent@ 1573434696.93, length: 17288
  Frame sent@ 1573434696.74, recv@ 1573434697.02
  Frame sent@ 1573434697.02, length: 17288
  Frame sent@ 1573434696.84, recv@ 1573434697.09
  Frame sent@ 1573434697.09, length: 17288
  Frame sent@ 1573434696.94, recv@ 1573434697.22
  Frame sent@ 1573434697.22, length: 17288
  Frame sent@ 1573434697.06, recv@ 1573434697.29
  Frame sent@ 1573434697.29, length: 17288
  Frame sent@ 1573434697.16, recv@ 1573434697.39
  Frame sent@ 1573434697.39, length: 17288
  Frame sent@ 1573434697.26, recv@ 1573434697.49
  Frame sent@ 1573434697.49, length: 17288
  Frame sent@ 1573434697.36, recv@ 1573434697.55
  Frame sent@ 1573434697.55, length: 17288
  Frame sent@ 1573434697.46, recv@ 1573434697.69
  Frame sent@ 1573434697.69, length: 17288
  Frame sent@ 1573434697.56, recv@ 1573434697.79
  Frame sent@ 1573434697.79, length: 17288
  Frame sent@ 1573434697.66, recv@ 1573434697.86
  Frame sent@ 1573434697.86, length: 17288
  Frame sent@ 1573434697.76, recv@ 1573434697.99
  Frame sent@ 1573434697.99, length: 17288
  Frame sent@ 1573434697.86, recv@ 1573434698.09
  Frame sent@ 1573434698.09, length: 17288
  Frame sent@ 1573434697.96, recv@ 1573434698.17
  Frame sent@ 1573434698.17, length: 17288
  Frame sent@ 1573434698.06, recv@ 1573434698.29
  Frame sent@ 1573434698.29, length: 17288
  Frame sent@ 1573434698.16, recv@ 1573434698.39
  Frame sent@ 1573434698.39, length: 17288
  Frame sent@ 1573434698.26, recv@ 1573434698.49
  Frame sent@ 1573434698.49, length: 17288
  Frame sent@ 1573434698.36, recv@ 1573434698.56
  Frame sent@ 1573434698.56, length: 17288
  Frame sent@ 1573434698.46, recv@ 1573434698.69
  Frame sent@ 1573434698.69, length: 17288
  Frame sent@ 1573434698.56, recv@ 1573434698.79
  Frame sent@ 1573434698.79, length: 17288
  Frame sent@ 1573434698.66, recv@ 1573434698.86
  Frame sent@ 1573434698.86, length: 17288
  Frame sent@ 1573434698.76, recv@ 1573434699.00
  Frame sent@ 1573434699.00, length: 17288
  Frame sent@ 1573434698.86, recv@ 1573434699.10
  Frame sent@ 1573434699.10, length: 17288
  Frame sent@ 1573434698.97, recv@ 1573434699.16
  Frame sent@ 1573434699.16, length: 17288
  Frame sent@ 1573434699.07, recv@ 1573434699.30
  Frame sent@ 1573434699.30, length: 17288
  Frame sent@ 1573434699.17, recv@ 1573434699.40
  Frame sent@ 1573434699.40, length: 17288
  Frame sent@ 1573434699.27, recv@ 1573434699.48
  Frame sent@ 1573434699.48, length: 17288
  Frame sent@ 1573434699.37, recv@ 1573434699.60
  Frame sent@ 1573434699.60, length: 17288
  Frame sent@ 1573434699.47, recv@ 1573434699.70
  Frame sent@ 1573434699.70, length: 17288
  Frame sent@ 1573434699.57, recv@ 1573434699.80
  Frame sent@ 1573434699.80, length: 17288
  Frame sent@ 1573434699.67, recv@ 1573434699.90
  Frame sent@ 1573434699.90, length: 17288
  Frame sent@ 1573434699.77, recv@ 1573434700.00
  Frame sent@ 1573434700.00, length: 17288
  Frame sent@ 1573434699.87, recv@ 1573434700.07
  Frame sent@ 1573434700.07, length: 17288
  Frame sent@ 1573434699.97, recv@ 1573434700.20
  Frame sent@ 1573434700.20, length: 17288
  Frame sent@ 1573434700.07, recv@ 1573434700.31
  Frame sent@ 1573434700.31, length: 17288
  Frame sent@ 1573434700.17, recv@ 1573434700.41
  Frame sent@ 1573434700.41, length: 17288
  Frame sent@ 1573434700.28, recv@ 1573434700.52
  Frame sent@ 1573434700.52, length: 17288
  Frame sent@ 1573434700.38, recv@ 1573434700.62
  Frame sent@ 1573434700.62, length: 17288
  Frame sent@ 1573434700.49, recv@ 1573434700.69
  Frame sent@ 1573434700.70, length: 17288
  Frame sent@ 1573434700.60, recv@ 1573434700.84
  Frame sent@ 1573434700.84, length: 17288
  Frame sent@ 1573434700.70, recv@ 1573434700.94
  Frame sent@ 1573434700.94, length: 17288
  Frame sent@ 1573434700.81, recv@ 1573434701.05
  Frame sent@ 1573434701.05, length: 17288
  Frame sent@ 1573434700.91, recv@ 1573434701.16
  Frame sent@ 1573434701.16, length: 17288
  Frame sent@ 1573434701.01, recv@ 1573434701.26
  Frame sent@ 1573434701.26, length: 17288
  Frame sent@ 1573434701.12, recv@ 1573434701.32
  Frame sent@ 1573434701.32, length: 17288
  Frame sent@ 1573434701.22, recv@ 1573434701.45
  Frame sent@ 1573434701.45, length: 17288
  Frame sent@ 1573434701.32, recv@ 1573434701.55
  Frame sent@ 1573434701.55, length: 17288
  Frame sent@ 1573434701.42, recv@ 1573434701.65
  Frame sent@ 1573434701.65, length: 17288
  Frame sent@ 1573434701.52, recv@ 1573434701.72
  Frame sent@ 1573434701.72, length: 17288
  Frame sent@ 1573434701.62, recv@ 1573434701.85
  Frame sent@ 1573434701.85, length: 17288
  Frame sent@ 1573434701.72, recv@ 1573434701.95
  Frame sent@ 1573434701.95, length: 17288
  Frame sent@ 1573434701.82, recv@ 1573434702.05
  Frame sent@ 1573434702.05, length: 17288
  Frame sent@ 1573434701.92, recv@ 1573434702.16
  Frame sent@ 1573434702.16, length: 17288
  Frame sent@ 1573434702.03, recv@ 1573434702.26
  Frame sent@ 1573434702.26, length: 17288
  Frame sent@ 1573434702.13, recv@ 1573434702.36
  Frame sent@ 1573434702.36, length: 17288
  Frame sent@ 1573434702.23, recv@ 1573434702.42
  Frame sent@ 1573434702.42, length: 17288
  Frame sent@ 1573434702.33, recv@ 1573434702.56
  Frame sent@ 1573434702.56, length: 17288
  Frame sent@ 1573434702.43, recv@ 1573434702.66
  Frame sent@ 1573434702.66, length: 17288
  Frame sent@ 1573434702.53, recv@ 1573434702.76
  Frame sent@ 1573434702.76, length: 17288
  Frame sent@ 1573434702.63, recv@ 1573434702.86
  Frame sent@ 1573434702.86, length: 17288
  Frame sent@ 1573434702.73, recv@ 1573434702.96
  Frame sent@ 1573434702.96, length: 17288
  Frame sent@ 1573434702.83, recv@ 1573434703.06
  Frame sent@ 1573434703.06, length: 17288
  Frame sent@ 1573434702.93, recv@ 1573434703.13
  Frame sent@ 1573434703.13, length: 17288
  Frame sent@ 1573434703.03, recv@ 1573434703.26
  Frame sent@ 1573434703.26, length: 17288
  Frame sent@ 1573434703.13, recv@ 1573434703.36
  Frame sent@ 1573434703.36, length: 17288
  Frame sent@ 1573434703.23, recv@ 1573434703.46
  Frame sent@ 1573434703.46, length: 17288
  Frame sent@ 1573434703.33, recv@ 1573434703.56
  Frame sent@ 1573434703.56, length: 17288
  Frame sent@ 1573434703.43, recv@ 1573434703.66
  Frame sent@ 1573434703.66, length: 17288
  Frame sent@ 1573434703.53, recv@ 1573434703.73
  Frame sent@ 1573434703.73, length: 17288
  Frame sent@ 1573434703.63, recv@ 1573434703.86
  Frame sent@ 1573434703.86, length: 17288
  Frame sent@ 1573434703.73, recv@ 1573434703.96
  Frame sent@ 1573434703.97, length: 17288
  Frame sent@ 1573434703.83, recv@ 1573434704.07
  Frame sent@ 1573434704.07, length: 17288
  Frame sent@ 1573434703.93, recv@ 1573434704.17
  Frame sent@ 1573434704.17, length: 17288
  Frame sent@ 1573434704.04, recv@ 1573434704.27
  Frame sent@ 1573434704.27, length: 17288
  Frame sent@ 1573434704.14, recv@ 1573434704.33
  Frame sent@ 1573434704.33, length: 17288
  Frame sent@ 1573434704.24, recv@ 1573434704.47
  Frame sent@ 1573434704.47, length: 17288
  Frame sent@ 1573434704.34, recv@ 1573434704.57
  Frame sent@ 1573434704.57, length: 17288
  Frame sent@ 1573434704.44, recv@ 1573434704.67
  Frame sent@ 1573434704.67, length: 17288
  Frame sent@ 1573434704.54, recv@ 1573434704.77
  Frame sent@ 1573434704.77, length: 17288
  Frame sent@ 1573434704.64, recv@ 1573434704.87
  Frame sent@ 1573434704.87, length: 17288
  Frame sent@ 1573434704.74, recv@ 1573434704.94
  Frame sent@ 1573434704.94, length: 17288
  Frame sent@ 1573434704.84, recv@ 1573434705.08
  Frame sent@ 1573434705.08, length: 17288
  Frame sent@ 1573434704.94, recv@ 1573434705.18
  Frame sent@ 1573434705.18, length: 17288
  Frame sent@ 1573434705.05, recv@ 1573434705.29
  Frame sent@ 1573434705.29, length: 17288
  Frame sent@ 1573434705.15, recv@ 1573434705.38
  Frame sent@ 1573434705.38, length: 17288
  Frame sent@ 1573434705.25, recv@ 1573434705.49
  Frame sent@ 1573434705.49, length: 17288
  Frame sent@ 1573434705.35, recv@ 1573434705.55
  Frame sent@ 1573434705.55, length: 17288
  Frame sent@ 1573434705.45, recv@ 1573434705.65
  Frame sent@ 1573434705.66, length: 17288
Processed 97 frames!
