Viewer listening on port 50007...
Sender ('10.0.0.3', 58660) connected.
  Frame sent@ 1573434696.01, recv@ 1573434696.45
  Frame sent@ 1573434696.09, recv@ 1573434696.53
  Frame sent@ 1573434696.31, recv@ 1573434696.81
  Frame sent@ 1573434696.41, recv@ 1573434696.88
  Frame sent@ 1573434696.48, recv@ 1573434696.96
  Frame sent@ 1573434696.56, recv@ 1573434697.18
  Frame sent@ 1573434696.65, recv@ 1573434697.25
  Frame sent@ 1573434696.79, recv@ 1573434697.32
  Frame sent@ 1573434696.86, recv@ 1573434697.42
  Frame sent@ 1573434696.93, recv@ 1573434697.53
  Frame sent@ 1573434697.02, recv@ 1573434697.61
  Frame sent@ 1573434697.09, recv@ 1573434697.68
  Frame sent@ 1573434697.22, recv@ 1573434697.78
  Frame sent@ 1573434697.29, recv@ 1573434697.88
  Frame sent@ 1573434697.39, recv@ 1573434697.95
  Frame sent@ 1573434697.49, recv@ 1573434698.03
  Frame sent@ 1573434697.55, recv@ 1573434698.11
  Frame sent@ 1573434697.69, recv@ 1573434698.20
  Frame sent@ 1573434697.79, recv@ 1573434698.27
  Frame sent@ 1573434697.86, recv@ 1573434698.35
  Frame sent@ 1573434697.99, recv@ 1573434698.42
  Frame sent@ 1573434698.09, recv@ 1573434698.52
  Frame sent@ 1573434698.17, recv@ 1573434698.59
  Frame sent@ 1573434698.29, recv@ 1573434698.66
  Frame sent@ 1573434698.39, recv@ 1573434698.74
  Frame sent@ 1573434698.49, recv@ 1573434698.81
  Frame sent@ 1573434698.56, recv@ 1573434698.90
  Frame sent@ 1573434698.69, recv@ 1573434698.97
  Frame sent@ 1573434698.79, recv@ 1573434699.04
  Frame sent@ 1573434698.86, recv@ 1573434699.13
  Frame sent@ 1573434699.00, recv@ 1573434699.23
  Frame sent@ 1573434699.10, recv@ 1573434699.29
  Frame sent@ 1573434699.16, recv@ 1573434699.43
  Frame sent@ 1573434699.30, recv@ 1573434699.53
  Frame sent@ 1573434699.40, recv@ 1573434699.60
  Frame sent@ 1573434699.48, recv@ 1573434699.73
  Frame sent@ 1573434699.60, recv@ 1573434699.83
  Frame sent@ 1573434699.70, recv@ 1573434699.90
  Frame sent@ 1573434699.80, recv@ 1573434700.03
  Frame sent@ 1573434699.90, recv@ 1573434700.14
  Frame sent@ 1573434700.00, recv@ 1573434700.20
  Frame sent@ 1573434700.07, recv@ 1573434700.34
  Frame sent@ 1573434700.20, recv@ 1573434700.44
  Frame sent@ 1573434700.31, recv@ 1573434700.53
  Frame sent@ 1573434700.41, recv@ 1573434700.65
  Frame sent@ 1573434700.52, recv@ 1573434700.75
  Frame sent@ 1573434700.62, recv@ 1573434700.83
  Frame sent@ 1573434700.70, recv@ 1573434700.98
  Frame sent@ 1573434700.84, recv@ 1573434701.08
  Frame sent@ 1573434700.94, recv@ 1573434701.16
  Frame sent@ 1573434701.05, recv@ 1573434701.29
  Frame sent@ 1573434701.16, recv@ 1573434701.39
  Frame sent@ 1573434701.26, recv@ 1573434701.45
  Frame sent@ 1573434701.32, recv@ 1573434701.58
  Frame sent@ 1573434701.45, recv@ 1573434701.68
  Frame sent@ 1573434701.55, recv@ 1573434701.75
  Frame sent@ 1573434701.65, recv@ 1573434701.85
  Frame sent@ 1573434701.72, recv@ 1573434701.98
  Frame sent@ 1573434701.85, recv@ 1573434702.05
  Frame sent@ 1573434701.95, recv@ 1573434702.18
  Frame sent@ 1573434702.05, recv@ 1573434702.29
  Frame sent@ 1573434702.16, recv@ 1573434702.35
  Frame sent@ 1573434702.26, recv@ 1573434702.49
  Frame sent@ 1573434702.36, recv@ 1573434702.55
  Frame sent@ 1573434702.42, recv@ 1573434702.65
  Frame sent@ 1573434702.56, recv@ 1573434702.79
  Frame sent@ 1573434702.66, recv@ 1573434702.89
  Frame sent@ 1573434702.76, recv@ 1573434702.96
  Frame sent@ 1573434702.86, recv@ 1573434703.09
  Frame sent@ 1573434702.96, recv@ 1573434703.19
  Frame sent@ 1573434703.06, recv@ 1573434703.26
  Frame sent@ 1573434703.13, recv@ 1573434703.33
  Frame sent@ 1573434703.26, recv@ 1573434703.49
  Frame sent@ 1573434703.36, recv@ 1573434703.59
  Frame sent@ 1573434703.46, recv@ 1573434703.66
  Frame sent@ 1573434703.56, recv@ 1573434703.79
  Frame sent@ 1573434703.66, recv@ 1573434703.86
  Frame sent@ 1573434703.73, recv@ 1573434703.95
  Frame sent@ 1573434703.86, recv@ 1573434704.10
  Frame sent@ 1573434703.96, recv@ 1573434704.20
  Frame sent@ 1573434704.07, recv@ 1573434704.27
  Frame sent@ 1573434704.17, recv@ 1573434704.40
  Frame sent@ 1573434704.27, recv@ 1573434704.47
  Frame sent@ 1573434704.33, recv@ 1573434704.56
  Frame sent@ 1573434704.47, recv@ 1573434704.70
  Frame sent@ 1573434704.57, recv@ 1573434704.80
  Frame sent@ 1573434704.67, recv@ 1573434704.87
  Frame sent@ 1573434704.77, recv@ 1573434705.01
  Frame sent@ 1573434704.87, recv@ 1573434705.08
  Frame sent@ 1573434704.94, recv@ 1573434705.18
  Frame sent@ 1573434705.08, recv@ 1573434705.32
  Frame sent@ 1573434705.18, recv@ 1573434705.42
  Frame sent@ 1573434705.29, recv@ 1573434705.49
  Frame sent@ 1573434705.38, recv@ 1573434705.62
  Frame sent@ 1573434705.49, recv@ 1573434705.69
  Frame sent@ 1573434705.55, recv@ 1573434705.78
  Frame sent@ 1573434705.66, recv@ 1573434705.85
Received 97 frames!
Avg. latency: 301 ms.
